Swat_Edit (Swat Parameters Editor 2012) Version 2.5.3.33454

________________________________________________________________________________________________________________________________________________________________________________________________________


a__maxtemp(){2001001-2010365}.tmp1.tmp 0.5

Parameter: 'MAXTEMP(2)'  |  Value: { New: '27.9'  Original: '27.4'  Old: '27.4' }  |  File: 'tmp1.tmp'  |  Line: '4042'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.9'  Original: '17.4'  Old: '17.4' }  |  File: 'tmp1.tmp'  |  Line: '4043'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '21.5'  Original: '21'  Old: '21.0' }  |  File: 'tmp1.tmp'  |  Line: '4043'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '22.3'  Original: '21.8'  Old: '21.8' }  |  File: 'tmp1.tmp'  |  Line: '4044'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '23.0'  Original: '22.5'  Old: '22.5' }  |  File: 'tmp1.tmp'  |  Line: '4044'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.7'  Original: '17.2'  Old: '17.2' }  |  File: 'tmp1.tmp'  |  Line: '4045'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '19.1'  Original: '18.6'  Old: '18.6' }  |  File: 'tmp1.tmp'  |  Line: '4045'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '16.0'  Original: '15.5'  Old: '15.5' }  |  File: 'tmp1.tmp'  |  Line: '4046'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '17.6'  Original: '17.1'  Old: '17.1' }  |  File: 'tmp1.tmp'  |  Line: '4046'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '18.2'  Original: '17.7'  Old: '17.7' }  |  File: 'tmp1.tmp'  |  Line: '4047'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '18.9'  Original: '18.4'  Old: '18.4' }  |  File: 'tmp1.tmp'  |  Line: '4047'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '15.0'  Original: '14.5'  Old: '14.5' }  |  File: 'tmp1.tmp'  |  Line: '4048'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '16.2'  Original: '15.7'  Old: '15.7' }  |  File: 'tmp1.tmp'  |  Line: '4048'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '10.1'  Original: '9.6'  Old: '9.6' }  |  File: 'tmp1.tmp'  |  Line: '4049'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '14.8'  Original: '14.3'  Old: '14.3' }  |  File: 'tmp1.tmp'  |  Line: '4049'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '13.3'  Original: '12.8'  Old: '12.8' }  |  File: 'tmp1.tmp'  |  Line: '4050'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '15.2'  Original: '14.7'  Old: '14.7' }  |  File: 'tmp1.tmp'  |  Line: '4050'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '14.2'  Original: '13.7'  Old: '13.7' }  |  File: 'tmp1.tmp'  |  Line: '4051'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '17.7'  Original: '17.2'  Old: '17.2' }  |  File: 'tmp1.tmp'  |  Line: '4051'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.6'  Original: '17.1'  Old: '17.1' }  |  File: 'tmp1.tmp'  |  Line: '4052'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '19.5'  Original: '19'  Old: '19.0' }  |  File: 'tmp1.tmp'  |  Line: '4052'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.5'  Original: '17'  Old: '17.0' }  |  File: 'tmp1.tmp'  |  Line: '4053'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '19.8'  Original: '19.3'  Old: '19.3' }  |  File: 'tmp1.tmp'  |  Line: '4053'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '14.3'  Original: '13.8'  Old: '13.8' }  |  File: 'tmp1.tmp'  |  Line: '4054'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '17.7'  Original: '17.2'  Old: '17.2' }  |  File: 'tmp1.tmp'  |  Line: '4054'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '8.1'  Original: '7.6'  Old: '7.6' }  |  File: 'tmp1.tmp'  |  Line: '4055'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '11.1'  Original: '10.6'  Old: '10.6' }  |  File: 'tmp1.tmp'  |  Line: '4055'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '10.2'  Original: '9.7'  Old: '9.7' }  |  File: 'tmp1.tmp'  |  Line: '4056'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '12.5'  Original: '12'  Old: '12.0' }  |  File: 'tmp1.tmp'  |  Line: '4056'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '16.3'  Original: '15.8'  Old: '15.8' }  |  File: 'tmp1.tmp'  |  Line: '4057'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '19.0'  Original: '18.5'  Old: '18.5' }  |  File: 'tmp1.tmp'  |  Line: '4057'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '18.0'  Original: '17.5'  Old: '17.5' }  |  File: 'tmp1.tmp'  |  Line: '4058'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '20.6'  Original: '20.1'  Old: '20.1' }  |  File: 'tmp1.tmp'  |  Line: '4058'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '23.7'  Original: '23.2'  Old: '23.2' }  |  File: 'tmp1.tmp'  |  Line: '4059'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '25.8'  Original: '25.3'  Old: '25.3' }  |  File: 'tmp1.tmp'  |  Line: '4059'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '16.7'  Original: '16.2'  Old: '16.2' }  |  File: 'tmp1.tmp'  |  Line: '4060'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '20.0'  Original: '19.5'  Old: '19.5' }  |  File: 'tmp1.tmp'  |  Line: '4060'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '12.5'  Original: '12'  Old: '12.0' }  |  File: 'tmp1.tmp'  |  Line: '4061'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '14.2'  Original: '13.7'  Old: '13.7' }  |  File: 'tmp1.tmp'  |  Line: '4061'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '10.0'  Original: '9.5'  Old: '9.5' }  |  File: 'tmp1.tmp'  |  Line: '4062'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '13.7'  Original: '13.2'  Old: '13.2' }  |  File: 'tmp1.tmp'  |  Line: '4062'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '12.9'  Original: '12.4'  Old: '12.4' }  |  File: 'tmp1.tmp'  |  Line: '4063'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '16.2'  Original: '15.7'  Old: '15.7' }  |  File: 'tmp1.tmp'  |  Line: '4063'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '13.9'  Original: '13.4'  Old: '13.4' }  |  File: 'tmp1.tmp'  |  Line: '4064'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '17.9'  Original: '17.4'  Old: '17.4' }  |  File: 'tmp1.tmp'  |  Line: '4064'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '24.2'  Original: '23.7'  Old: '23.7' }  |  File: 'tmp1.tmp'  |  Line: '4065'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '26.0'  Original: '25.5'  Old: '25.5' }  |  File: 'tmp1.tmp'  |  Line: '4065'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '15.7'  Original: '15.2'  Old: '15.2' }  |  File: 'tmp1.tmp'  |  Line: '4066'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '15.8'  Original: '15.3'  Old: '15.3' }  |  File: 'tmp1.tmp'  |  Line: '4066'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '14.2'  Original: '13.7'  Old: '13.7' }  |  File: 'tmp1.tmp'  |  Line: '4067'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '18.7'  Original: '18.2'  Old: '18.2' }  |  File: 'tmp1.tmp'  |  Line: '4067'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '18.7'  Original: '18.2'  Old: '18.2' }  |  File: 'tmp1.tmp'  |  Line: '4068'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '20.8'  Original: '20.3'  Old: '20.3' }  |  File: 'tmp1.tmp'  |  Line: '4068'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '16.0'  Original: '15.5'  Old: '15.5' }  |  File: 'tmp1.tmp'  |  Line: '4069'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '17.7'  Original: '17.2'  Old: '17.2' }  |  File: 'tmp1.tmp'  |  Line: '4069'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '20.5'  Original: '20'  Old: '20.0' }  |  File: 'tmp1.tmp'  |  Line: '4070'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '21.5'  Original: '21'  Old: '21.0' }  |  File: 'tmp1.tmp'  |  Line: '4070'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '23.2'  Original: '22.7'  Old: '22.7' }  |  File: 'tmp1.tmp'  |  Line: '4071'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '25.7'  Original: '25.2'  Old: '25.2' }  |  File: 'tmp1.tmp'  |  Line: '4071'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '25.0'  Original: '24.5'  Old: '24.5' }  |  File: 'tmp1.tmp'  |  Line: '4072'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '26.9'  Original: '26.4'  Old: '26.4' }  |  File: 'tmp1.tmp'  |  Line: '4072'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '23.9'  Original: '23.4'  Old: '23.4' }  |  File: 'tmp1.tmp'  |  Line: '4073'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '26.7'  Original: '26.2'  Old: '26.2' }  |  File: 'tmp1.tmp'  |  Line: '4073'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '25.1'  Original: '24.6'  Old: '24.6' }  |  File: 'tmp1.tmp'  |  Line: '4074'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '27.1'  Original: '26.6'  Old: '26.6' }  |  File: 'tmp1.tmp'  |  Line: '4074'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '26.7'  Original: '26.2'  Old: '26.2' }  |  File: 'tmp1.tmp'  |  Line: '4075'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '28.2'  Original: '27.7'  Old: '27.7' }  |  File: 'tmp1.tmp'  |  Line: '4075'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '29.0'  Original: '28.5'  Old: '28.5' }  |  File: 'tmp1.tmp'  |  Line: '4076'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '29.8'  Original: '29.3'  Old: '29.3' }  |  File: 'tmp1.tmp'  |  Line: '4076'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '21.2'  Original: '20.7'  Old: '20.7' }  |  File: 'tmp1.tmp'  |  Line: '4077'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '25.2'  Original: '24.7'  Old: '24.7' }  |  File: 'tmp1.tmp'  |  Line: '4077'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '15.0'  Original: '14.5'  Old: '14.5' }  |  File: 'tmp1.tmp'  |  Line: '4078'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '14.8'  Original: '14.3'  Old: '14.3' }  |  File: 'tmp1.tmp'  |  Line: '4078'
