2013/12/18 0:00:00 .dat file Monthly Record Subbasin  7in ARCGIS-swat2009  interface




 MONTH YEAR          FLOCNST          SEDCNST         ORGNCNST         ORGPCNST          NO3CNST          NH3CNST          NO2CNST         MINPCNST         CBODCNST        DISOXCNST         CHLACNST       SOLPSTCNST       SRBPSTCNST        BACTPCNST       BACTLPCNST        CMTL1CNST        CMTL2CNST        CMTL3CNST
     5 2002 7.6258064516E+05 0.0000000000E+00 3.8129030000E+01 0.0000000000E+00 2.2877419000E+02 1.1438710000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 2002 2.3196666667E+06 0.0000000000E+00 1.1598333000E+02 0.0000000000E+00 6.9590000000E+02 3.4795000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 2002 1.4541935484E+06 0.0000000000E+00 7.2709680000E+01 0.0000000000E+00 4.3625806000E+02 2.1812903000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 2002 2.3041935484E+06 0.0000000000E+00 1.1520968000E+02 0.0000000000E+00 6.9125806000E+02 3.4562903000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 2002 1.8350000000E+06 0.0000000000E+00 9.1750000000E+01 0.0000000000E+00 5.5050000000E+02 2.7525000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    10 2002 6.6483870968E+05 0.0000000000E+00 3.3241940000E+01 0.0000000000E+00 1.9945161000E+02 9.9725810000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    11 2002 5.6100000000E+05 0.0000000000E+00 2.8050000000E+01 0.0000000000E+00 1.6830000000E+02 8.4150000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    12 2002 5.1096774194E+05 0.0000000000E+00 2.5548390000E+01 0.0000000000E+00 1.5329032000E+02 7.6645160000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     1 2003 6.4806451613E+05 0.0000000000E+00 3.2403230000E+01 0.0000000000E+00 1.9441935000E+02 9.7209680000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 2003 7.6357142857E+05 0.0000000000E+00 3.8178570000E+01 0.0000000000E+00 2.2907143000E+02 1.1453571000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 2003 4.9225806452E+05 0.0000000000E+00 2.4612900000E+01 0.0000000000E+00 1.4767742000E+02 7.3838710000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 2003 5.1100000000E+05 0.0000000000E+00 2.5550000000E+01 0.0000000000E+00 1.5330000000E+02 7.6650000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 2003 9.1322580645E+05 0.0000000000E+00 4.5661290000E+01 0.0000000000E+00 2.7396774000E+02 1.3698387000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 2003 1.0516666667E+06 0.0000000000E+00 5.2583330000E+01 0.0000000000E+00 3.1550000000E+02 1.5775000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 2003 3.5032258065E+05 0.0000000000E+00 1.7516130000E+01 0.0000000000E+00 1.0509677000E+02 5.2548390000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 2003 9.8516129032E+05 0.0000000000E+00 4.9258060000E+01 0.0000000000E+00 2.9554839000E+02 1.4777419000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 2003 1.5096666667E+06 0.0000000000E+00 7.5483330000E+01 0.0000000000E+00 4.5290000000E+02 2.2645000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    10 2003 1.0009677419E+06 0.0000000000E+00 5.0048390000E+01 0.0000000000E+00 3.0029032000E+02 1.5014516000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    11 2003 6.4800000000E+05 0.0000000000E+00 3.2400000000E+01 0.0000000000E+00 1.9440000000E+02 9.7200000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    12 2003 6.3774193548E+05 0.0000000000E+00 3.1887100000E+01 0.0000000000E+00 1.9132258000E+02 9.5661290000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     1 2004 5.7096774190E+04 0.0000000000E+00 2.8548400000E+00 0.0000000000E+00 1.7129030000E+01 8.5645200000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 2004 2.6344827586E+05 0.0000000000E+00 1.3172410000E+01 0.0000000000E+00 7.9034480000E+01 3.9517240000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 2004 2.8709677419E+05 0.0000000000E+00 1.4354840000E+01 0.0000000000E+00 8.6129030000E+01 4.3064520000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 2004 3.3566666667E+05 0.0000000000E+00 1.6783330000E+01 0.0000000000E+00 1.0070000000E+02 5.0350000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 2004 6.5129032258E+05 0.0000000000E+00 3.2564520000E+01 0.0000000000E+00 1.9538710000E+02 9.7693550000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 2004 1.0073333333E+06 0.0000000000E+00 5.0366670000E+01 0.0000000000E+00 3.0220000000E+02 1.5110000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 2004 3.5677419355E+05 0.0000000000E+00 1.7838710000E+01 0.0000000000E+00 1.0703226000E+02 5.3516130000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 2004 5.7064516129E+05 0.0000000000E+00 2.8532260000E+01 0.0000000000E+00 1.7119355000E+02 8.5596770000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 2004 1.5473333333E+06 0.0000000000E+00 7.7366670000E+01 0.0000000000E+00 4.6420000000E+02 2.3210000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    10 2004 9.9870967742E+05 0.0000000000E+00 4.9935480000E+01 0.0000000000E+00 2.9961290000E+02 1.4980645000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    11 2004 5.7900000000E+05 0.0000000000E+00 2.8950000000E+01 0.0000000000E+00 1.7370000000E+02 8.6850000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    12 2004 5.2032258065E+05 0.0000000000E+00 2.6016130000E+01 0.0000000000E+00 1.5609677000E+02 7.8048390000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     1 2005 2.3225806452E+05 0.0000000000E+00 1.1612900000E+01 0.0000000000E+00 6.9677420000E+01 3.4838710000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 2005 1.6500000000E+05 0.0000000000E+00 8.2500000000E+00 0.0000000000E+00 4.9500000000E+01 2.4750000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 2005 4.6032258065E+05 0.0000000000E+00 2.3016130000E+01 0.0000000000E+00 1.3809677000E+02 6.9048390000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 2005 2.6700000000E+05 0.0000000000E+00 1.3350000000E+01 0.0000000000E+00 8.0100000000E+01 4.0050000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 2005 1.3358064516E+06 0.0000000000E+00 6.6790320000E+01 0.0000000000E+00 4.0074194000E+02 2.0037097000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 2005 2.1473333333E+06 0.0000000000E+00 1.0736667000E+02 0.0000000000E+00 6.4420000000E+02 3.2210000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 2005 1.9345161290E+06 0.0000000000E+00 9.6725810000E+01 0.0000000000E+00 5.8035484000E+02 2.9017742000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 2005 1.4635483871E+06 0.0000000000E+00 7.3177420000E+01 0.0000000000E+00 4.3906452000E+02 2.1953226000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 2005 2.2540000000E+06 0.0000000000E+00 1.1270000000E+02 0.0000000000E+00 6.7620000000E+02 3.3810000000E+02 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
